#atoms per molecule N = 36
#distance_atoms = 0.255
#molecule_length = 8.925
#layers = 2

#LJ_epsilon	CD_epsilon	lateral_gap_min	radial_gap_min	offset_min	D-periodicity_min	E_CD_min	E_LJ_min	E_total_min
0.010	10.000	0.784	0.765	4.590	5.100	-281.256	40.295	-240.962
0.010	20.000	0.896	0.765	4.590	5.100	-113.969	4.471	-109.498
0.010	30.000	0.896	0.765	4.590	5.100	-75.979	4.471	-71.508
0.010	40.000	1.008	0.765	4.845	4.845	-52.401	-0.678	-53.078
0.010	50.000	1.008	0.765	4.845	4.845	-41.921	-0.678	-42.598
0.010	60.000	1.008	0.765	4.845	4.845	-34.934	-0.678	-35.611
0.010	70.000	1.008	0.765	4.845	4.845	-29.943	-0.678	-30.621
0.010	80.000	1.008	0.765	4.845	4.845	-26.200	-0.678	-26.878
0.010	90.000	1.008	0.765	4.845	4.845	-23.289	-0.678	-23.967
0.010	100.000	1.008	0.765	4.845	4.845	-20.960	-0.678	-21.638
0.010	110.000	1.008	0.765	4.845	4.845	-19.055	-0.678	-19.732
0.010	120.000	1.008	0.765	4.845	4.845	-17.467	-0.678	-18.144
0.010	130.000	1.008	0.765	4.845	4.845	-16.123	-0.678	-16.801
0.010	140.000	1.008	0.765	4.845	4.845	-14.972	-0.678	-15.649
0.010	150.000	1.008	0.765	4.845	4.845	-13.974	-0.678	-14.651
0.010	160.000	1.008	0.765	4.845	4.845	-13.100	-0.678	-13.778
0.010	170.000	1.008	0.765	4.845	4.845	-12.330	-0.678	-13.007
0.010	180.000	1.008	0.765	4.845	4.845	-11.645	-0.678	-12.322
0.010	190.000	1.008	0.765	4.845	4.845	-11.032	-0.678	-11.709
0.010	200.000	1.008	0.765	4.845	4.845	-10.480	-0.678	-11.158

0.020	10.000	0.896	0.765	4.590	5.100	-227.937	8.942	-218.995
0.020	20.000	1.008	0.765	4.845	4.845	-104.801	-1.355	-106.156
0.020	30.000	1.008	0.765	4.845	4.845	-69.868	-1.355	-71.223
0.020	40.000	1.008	0.765	4.845	4.845	-52.401	-1.355	-53.756
0.020	50.000	1.008	0.765	4.845	4.845	-41.921	-1.355	-43.276
0.020	60.000	1.008	0.765	4.845	4.845	-34.934	-1.355	-36.289
0.020	70.000	1.008	0.765	4.845	4.845	-29.943	-1.355	-31.298
0.020	80.000	1.008	0.765	4.845	4.845	-26.200	-1.355	-27.555
0.020	90.000	1.008	0.765	4.845	4.845	-23.289	-1.355	-24.644
0.020	100.000	1.008	0.765	4.845	4.845	-20.960	-1.355	-22.315
0.020	110.000	1.008	1.020	4.845	5.100	-16.098	-4.351	-20.448
0.020	120.000	1.008	1.020	4.845	5.100	-14.756	-4.351	-19.107
0.020	130.000	1.008	1.020	4.845	5.100	-13.621	-4.351	-17.972
0.020	140.000	1.008	1.020	4.845	5.100	-12.648	-4.351	-16.999
0.020	150.000	1.008	1.020	4.845	5.100	-11.805	-4.351	-16.156
0.020	160.000	1.008	1.020	4.845	5.100	-11.067	-4.351	-15.418
0.020	170.000	1.008	1.020	5.100	4.845	-10.416	-4.351	-14.767
0.020	180.000	1.008	1.020	5.100	4.845	-9.837	-4.351	-14.188
0.020	190.000	1.008	1.020	4.845	5.100	-9.320	-4.351	-13.670
0.020	200.000	1.008	1.020	4.845	5.100	-8.854	-4.351	-13.204

0.030	10.000	0.896	0.765	4.590	5.100	-227.937	13.413	-214.524
0.030	20.000	1.008	0.765	4.845	4.845	-104.801	-2.033	-106.834
0.030	30.000	1.008	0.765	4.845	4.845	-69.868	-2.033	-71.900
0.030	40.000	1.008	0.765	4.845	4.845	-52.401	-2.033	-54.433
0.030	50.000	1.008	0.765	4.845	4.845	-41.921	-2.033	-43.953
0.030	60.000	1.008	0.765	4.845	4.845	-34.934	-2.033	-36.966
0.030	70.000	1.008	0.765	4.845	4.845	-29.943	-2.033	-31.976
0.030	80.000	1.008	1.020	4.845	5.100	-22.134	-6.526	-28.660
0.030	90.000	1.008	1.020	4.845	5.100	-19.675	-6.526	-26.201
0.030	100.000	1.008	1.020	4.845	5.100	-17.707	-6.526	-24.233
0.030	110.000	1.008	1.020	4.845	5.100	-16.098	-6.526	-22.624
0.030	120.000	1.008	1.020	4.845	5.100	-14.756	-6.526	-21.282
0.030	130.000	1.008	1.020	4.845	5.100	-13.621	-6.526	-20.147
0.030	140.000	1.008	1.020	5.100	4.845	-12.648	-6.526	-19.174
0.030	150.000	1.008	1.020	4.845	5.100	-11.805	-6.526	-18.331
0.030	160.000	1.008	1.020	5.100	4.845	-11.067	-6.526	-17.593
0.030	170.000	1.008	1.020	4.845	5.100	-10.416	-6.526	-16.942
0.030	180.000	1.008	1.020	4.845	5.100	-9.837	-6.526	-16.363
0.030	190.000	1.008	1.020	5.100	4.845	-9.320	-6.526	-15.846
0.030	200.000	1.008	1.020	5.100	4.845	-8.854	-6.526	-15.380

0.040	10.000	1.008	0.765	4.845	4.845	-209.603	-2.710	-212.313
0.040	20.000	1.008	0.765	4.845	4.845	-104.801	-2.710	-107.511
0.040	30.000	1.008	0.765	4.845	4.845	-69.868	-2.710	-72.578
0.040	40.000	1.008	0.765	4.845	4.845	-52.401	-2.710	-55.111
0.040	50.000	1.008	0.765	4.845	4.845	-41.921	-2.710	-44.631
0.040	60.000	1.008	1.020	4.845	5.100	-29.512	-8.701	-38.214
0.040	70.000	1.008	1.020	4.845	5.100	-25.296	-8.701	-33.998
0.040	80.000	1.008	1.020	4.845	5.100	-22.134	-8.701	-30.836
0.040	90.000	1.008	1.020	5.100	4.845	-19.675	-8.701	-28.376
0.040	100.000	1.008	1.020	4.845	5.100	-17.707	-8.701	-26.409
0.040	110.000	1.008	1.020	4.845	5.100	-16.098	-8.701	-24.799
0.040	120.000	1.008	1.020	4.845	5.100	-14.756	-8.701	-23.458
0.040	130.000	1.008	1.020	5.100	4.845	-13.621	-8.701	-22.322
0.040	140.000	1.008	1.020	4.845	5.100	-12.648	-8.701	-21.350
0.040	150.000	1.008	1.020	4.845	5.100	-11.805	-8.701	-20.506
0.040	160.000	1.008	1.020	4.845	5.100	-11.067	-8.701	-19.769
0.040	170.000	1.008	1.020	4.845	5.100	-10.416	-8.701	-19.118
0.040	180.000	1.008	1.020	5.100	4.845	-9.837	-8.701	-18.539
0.040	190.000	1.008	1.020	4.845	5.100	-9.320	-8.701	-18.021
0.040	200.000	1.008	1.020	4.845	5.100	-8.854	-8.701	-17.555

0.050	10.000	1.008	0.765	4.845	4.845	-209.603	-3.388	-212.990
0.050	20.000	1.008	0.765	4.845	4.845	-104.801	-3.388	-108.189
0.050	30.000	1.008	0.765	4.845	4.845	-69.868	-3.388	-73.255
0.050	40.000	1.008	0.765	4.845	4.845	-52.401	-3.388	-55.788
0.050	50.000	1.008	1.020	4.845	5.100	-35.415	-10.877	-46.291
0.050	60.000	1.008	1.020	4.845	5.100	-29.512	-10.877	-40.389
0.050	70.000	1.008	1.020	5.100	4.845	-25.296	-10.877	-36.173
0.050	80.000	1.008	1.020	5.100	4.845	-22.134	-10.877	-33.011
0.050	90.000	1.008	1.020	4.845	5.100	-19.675	-10.877	-30.552
0.050	100.000	1.008	1.020	5.100	4.845	-17.707	-10.877	-28.584
0.050	110.000	1.008	1.020	5.100	4.845	-16.098	-10.877	-26.974
0.050	120.000	1.008	1.020	5.100	4.845	-14.756	-10.877	-25.633
0.050	130.000	1.008	1.020	5.100	4.845	-13.621	-10.877	-24.498
0.050	140.000	1.008	1.020	4.845	5.100	-12.648	-10.877	-23.525
0.050	150.000	1.008	1.020	5.100	4.845	-11.805	-10.877	-22.682
0.050	160.000	1.008	1.020	4.845	5.100	-11.067	-10.877	-21.944
0.050	170.000	1.008	1.020	5.100	4.845	-10.416	-10.877	-21.293
0.050	180.000	1.008	1.020	4.845	5.100	-9.837	-10.877	-20.714
0.050	190.000	1.008	1.020	4.845	5.100	-9.320	-10.877	-20.196
0.050	200.000	1.008	1.020	4.845	5.100	-8.854	-10.877	-19.730

0.060	10.000	1.008	0.765	4.845	4.845	-209.603	-4.065	-213.668
0.060	20.000	1.008	0.765	4.845	4.845	-104.801	-4.065	-108.866
0.060	30.000	1.008	0.765	4.845	4.845	-69.868	-4.065	-73.933
0.060	40.000	1.008	1.020	4.845	5.100	-44.268	-13.052	-57.320
0.060	50.000	1.008	1.020	4.845	5.100	-35.415	-13.052	-48.467
0.060	60.000	1.008	1.020	4.845	5.100	-29.512	-13.052	-42.564
0.060	70.000	1.008	1.020	5.100	4.845	-25.296	-13.052	-38.348
0.060	80.000	1.008	1.020	5.100	4.845	-22.134	-13.052	-35.186
0.060	90.000	1.008	1.020	4.845	5.100	-19.675	-13.052	-32.727
0.060	100.000	1.008	1.020	5.100	4.845	-17.707	-13.052	-30.759
0.060	110.000	1.008	1.020	5.100	4.845	-16.098	-13.052	-29.150
0.060	120.000	1.008	1.020	5.100	4.845	-14.756	-13.052	-27.808
0.060	130.000	1.008	1.020	5.100	4.845	-13.621	-13.052	-26.673
0.060	140.000	1.008	1.020	4.845	5.100	-12.648	-13.052	-25.700
0.060	150.000	1.008	1.020	5.100	4.845	-11.805	-13.052	-24.857
0.060	160.000	1.008	1.020	4.845	5.100	-11.067	-13.052	-24.119
0.060	170.000	1.008	1.020	5.100	4.845	-10.416	-13.052	-23.468
0.060	180.000	1.008	1.020	4.845	5.100	-9.837	-13.052	-22.890
0.060	190.000	1.008	1.020	4.845	5.100	-9.320	-13.052	-22.372
0.060	200.000	1.008	1.020	4.845	5.100	-8.854	-13.052	-21.906

0.070	10.000	1.008	0.765	4.845	4.845	-209.603	-4.743	-214.345
0.070	20.000	1.008	0.765	4.845	4.845	-104.801	-4.743	-109.544
0.070	30.000	1.008	0.765	4.845	4.845	-69.868	-4.743	-74.610
0.070	40.000	1.008	1.020	4.845	5.100	-44.268	-15.228	-59.496
0.070	50.000	1.008	1.020	4.845	5.100	-35.415	-15.228	-50.642
0.070	60.000	1.008	1.020	4.845	5.100	-29.512	-15.228	-44.740
0.070	70.000	1.008	1.020	5.100	4.845	-25.296	-15.228	-40.524
0.070	80.000	1.008	1.020	5.100	4.845	-22.134	-15.228	-37.362
0.070	90.000	1.008	1.020	5.100	4.845	-19.675	-15.228	-34.902
0.070	100.000	1.008	1.020	5.100	4.845	-17.707	-15.228	-32.935
0.070	110.000	1.008	1.020	5.100	4.845	-16.098	-15.228	-31.325
0.070	120.000	1.008	1.020	5.100	4.845	-14.756	-15.228	-29.984
0.070	130.000	1.008	1.020	5.100	4.845	-13.621	-15.228	-28.849
0.070	140.000	1.008	1.020	4.845	5.100	-12.648	-15.228	-27.876
0.070	150.000	1.008	1.020	5.100	4.845	-11.805	-15.228	-27.032
0.070	160.000	1.008	1.020	4.845	5.100	-11.067	-15.228	-26.295
0.070	170.000	1.008	1.020	5.100	4.845	-10.416	-15.228	-25.644
0.070	180.000	1.008	1.020	5.100	4.845	-9.837	-15.228	-25.065
0.070	190.000	1.008	1.020	4.845	5.100	-9.320	-15.228	-24.547
0.070	200.000	1.008	1.020	4.845	5.100	-8.854	-15.228	-24.081

0.080	10.000	1.008	0.765	4.845	4.845	-209.603	-5.420	-215.023
0.080	20.000	1.008	0.765	4.845	4.845	-104.801	-5.420	-110.221
0.080	30.000	1.008	1.020	4.845	5.100	-59.024	-17.403	-76.427
0.080	40.000	1.008	1.020	4.845	5.100	-44.268	-17.403	-61.671
0.080	50.000	1.008	1.020	4.845	5.100	-35.415	-17.403	-52.818
0.080	60.000	1.008	1.020	4.845	5.100	-29.512	-17.403	-46.915
0.080	70.000	1.008	1.020	4.845	5.100	-25.296	-17.403	-42.699
0.080	80.000	1.008	1.020	4.845	5.100	-22.134	-17.403	-39.537
0.080	90.000	1.008	1.020	5.100	4.845	-19.675	-17.403	-37.078
0.080	100.000	1.008	1.020	4.845	5.100	-17.707	-17.403	-35.110
0.080	110.000	1.008	1.020	4.845	5.100	-16.098	-17.403	-33.500
0.080	120.000	1.008	1.020	5.100	4.845	-14.756	-17.403	-32.159
0.080	130.000	1.008	1.020	4.845	5.100	-13.621	-17.403	-31.024
0.080	140.000	1.008	1.020	5.100	4.845	-12.648	-17.403	-30.051
0.080	150.000	1.008	1.020	5.100	4.845	-11.805	-17.403	-29.208
0.080	160.000	1.008	1.020	5.100	4.845	-11.067	-17.403	-28.470
0.080	170.000	1.008	1.020	5.100	4.845	-10.416	-17.403	-27.819
0.080	180.000	1.008	1.020	5.100	4.845	-9.837	-17.403	-27.240
0.080	190.000	1.008	1.020	5.100	4.845	-9.320	-17.403	-26.723
0.080	200.000	1.008	1.020	5.100	4.845	-8.854	-17.403	-26.257

0.090	10.000	1.008	0.765	4.845	4.845	-209.603	-6.098	-215.700
0.090	20.000	1.008	0.765	4.845	4.845	-104.801	-6.098	-110.899
0.090	30.000	1.008	1.020	5.100	4.845	-59.024	-19.578	-78.603
0.090	40.000	1.008	1.020	4.845	5.100	-44.268	-19.578	-63.847
0.090	50.000	1.008	1.020	4.845	5.100	-35.415	-19.578	-54.993
0.090	60.000	1.008	1.020	4.845	5.100	-29.512	-19.578	-49.090
0.090	70.000	1.008	1.020	4.845	5.100	-25.296	-19.578	-44.874
0.090	80.000	1.008	1.020	4.845	5.100	-22.134	-19.578	-41.712
0.090	90.000	1.008	1.020	5.100	4.845	-19.675	-19.578	-39.253
0.090	100.000	1.008	1.020	4.845	5.100	-17.707	-19.578	-37.286
0.090	110.000	1.008	1.020	4.845	5.100	-16.098	-19.578	-35.676
0.090	120.000	1.008	1.020	5.100	4.845	-14.756	-19.578	-34.334
0.090	130.000	1.008	1.020	4.845	5.100	-13.621	-19.578	-33.199
0.090	140.000	1.008	1.020	5.100	4.845	-12.648	-19.578	-32.226
0.090	150.000	1.008	1.020	5.100	4.845	-11.805	-19.578	-31.383
0.090	160.000	1.008	1.020	5.100	4.845	-11.067	-19.578	-30.645
0.090	170.000	1.008	1.020	5.100	4.845	-10.416	-19.578	-29.994
0.090	180.000	1.008	1.020	5.100	4.845	-9.837	-19.578	-29.416
0.090	190.000	1.008	1.020	5.100	4.845	-9.320	-19.578	-28.898
0.090	200.000	1.008	1.020	5.100	4.845	-8.854	-19.578	-28.432

0.100	10.000	1.008	0.765	4.845	4.845	-209.603	-6.775	-216.378
0.100	20.000	1.008	0.765	4.845	4.845	-104.801	-6.775	-111.576
0.100	30.000	1.008	1.020	4.845	5.100	-59.024	-21.754	-80.778
0.100	40.000	1.008	1.020	4.845	5.100	-44.268	-21.754	-66.022
0.100	50.000	1.008	1.020	4.845	5.100	-35.415	-21.754	-57.168
0.100	60.000	1.008	1.020	4.845	5.100	-29.512	-21.754	-51.266
0.100	70.000	1.008	1.020	4.845	5.100	-25.296	-21.754	-47.050
0.100	80.000	1.008	1.020	4.845	5.100	-22.134	-21.754	-43.888
0.100	90.000	1.008	1.020	5.100	4.845	-19.675	-21.754	-41.428
0.100	100.000	1.008	1.020	4.845	5.100	-17.707	-21.754	-39.461
0.100	110.000	1.008	1.020	4.845	5.100	-16.098	-21.754	-37.851
0.100	120.000	1.008	1.020	5.100	4.845	-14.756	-21.754	-36.510
0.100	130.000	1.008	1.020	4.845	5.100	-13.621	-21.754	-35.375
0.100	140.000	1.008	1.020	5.100	4.845	-12.648	-21.754	-34.402
0.100	150.000	1.008	1.020	4.845	5.100	-11.805	-21.754	-33.558
0.100	160.000	1.008	1.020	5.100	4.845	-11.067	-21.754	-32.821
0.100	170.000	1.008	1.020	5.100	4.845	-10.416	-21.754	-32.170
0.100	180.000	1.008	1.020	5.100	4.845	-9.837	-21.754	-31.591
0.100	190.000	1.008	1.020	5.100	4.845	-9.320	-21.754	-31.073
